SampleID,Sample_num,Full_Sample_Name,Cruise_Name,Station,Sample_Type,Depth,Filter,Month
6689_1_16S,1,HAB 24-01 CTD BOT 0.2,HAB24,1,CTD,Bottom,0.2,October
6689_2_16S,2,HAB24 UW3 3.0,HAB24,14,UW,Surface,3,October
6689_3_16S,3,HAB24-01 CTD SURF 0.2,HAB24,1,CTD,Surface,0.2,October
6689_4_16S,4,HAB 24 UW3 0.2,HAB24,14,UW,Surface,0.2,October
6689_5_16S,5,24-02 CTD BOT 0.2,HAB24,2,CTD,Bottom,0.2,October
6689_6_16S,6,24-10 CTD BOT 0.2,HAB24,10,CTD,Bottom,0.2,October
6689_7_16S,7,25-05 CTD BOT 0.2,HAB24,5,CTD,Bottom,0.2,October
6689_8_16S,8,24-04 CTD BOT 0.2,HAB24,4,CTD,Bottom,0.2,October
6689_9_16S,9,24-08 CTD BOT 0.2,HAB24,8,CTD,Bottom,0.2,October
6689_10_16S,10,24-07 CTD BOT 0.2,HAB24,7,CTD,Bottom,0.2,October
6689_11_16S,11,24-11 CTD BOT 0.2,HAB24,11,CTD,Bottom,0.2,October
6689_12_16S,12,24-03 CTD BOT 0.2,HAB24,3,CTD,Bottom,0.2,October
6689_13_16S,13,24-06 CTD BOT 0.2,HAB24,6,CTD,Bottom,0.2,October
6689_14_16S,14,24-12 CTD BOT 0.2,HAB24,12,CTD,Bottom,0.2,October
6689_15_16S,15,24-04 CTD SURF 0.2,HAB24,4,CTD,Surface,0.2,October
6689_16_16S,16,24-03 CTD SURF 0.2,HAB24,3,CTD,Surface,0.2,October
6689_17_16S,17,24-02 CTD SURF 0.2,HAB24,2,CTD,Surface,0.2,October
6689_18_16S,18,24-010 CTD SURF 0.2,HAB24,10,CTD,Surface,0.2,October
6689_19_16S,19,24-05 CTD SURF 0.2,HAB24,5,CTD,Surface,0.2,October
6689_20_16S,20,24-11 CTD SURF 0.2,HAB24,11,CTD,Surface,0.2,October
6689_21_16S,21,24-06 SURF 0.2,HAB24,6,CTD,Surface,0.2,October
6689_22_16S,22,24-07 SURF 0.2,HAB24,7,CTD,Surface,0.2,October
6689_23_16S,23,HAB 24-12 CTD SURF 0.2,HAB24,12,CTD,Surface,0.2,October
6689_24_16S,24,HAB 24-08 CTD SURF 0.2,HAB24,8,CTD,Surface,0.2,October
6689_25_16S,25,HAB 24 UW 4 0.2,HAB24,15,UW,Surface,0.2,October
6689_26_16S,26,HAB 24 UW 2 0.2,HAB24,13,UW,Surface,0.2,October
6689_27_16S,27,HAB 24 UW 4 3.0,HAB24,15,UW,Surface,3,October
6689_28_16S,28,HAB 24-07 CTD SURF 3.0,HAB24,7,CTD,Surface,3,October
6689_29_16S,29,HAB 24-11 CTD BOT 3.0,HAB24,11,CTD,Bottom,3,October
6689_30_16S,30,HAB 24-07 CTD BOT 3.0,HAB24,7,CTD,Bottom,3,October
6689_31_16S,31,HAB 24-01 CTD BOT 3.0,HAB24,1,CTD,Bottom,3,October
6689_32_16S,32,HAB 24-04 CTD SURF 3.0,HAB24,4,CTD,Surface,3,October
6689_33_16S,33,HAB 24-05 CTD SURF 3.0,HAB24,5,CTD,Surface,3,October
6689_34_16S,34,HAB 24-04 CTD BOT 3.0,HAB24,4,CTD,Bottom,3,October
6689_35_16S,35,HAB 24-05 CTD BOT 3.0,HAB24,5,CTD,Bottom,3,October
6689_36_16S,36,HAB 24-06 CTD SURF 3.0,HAB24,6,CTD,Surface,3,October
6689_37_16S,37,HAB 24-06 CTD BOT 3.0,HAB24,6,CTD,Bottom,3,October
6689_38_16S,38,HAB 24-08 CTD BOT 3.0,HAB24,8,CTD,Bottom,3,October
6689_39_16S,39,HAB 24 UW 2 3.0,HAB24,13,UW,Surface,3,October
6689_40_16S,40,HAB 24-010 CTD SURF 3.0,HAB24,10,CTD,Surface,3,October
6689_41_16S,41,HAB 24-11 CTD SURF 3.0,HAB24,11,CTD,Surface,3,October
6689_42_16S,42,HAB 24-12 CTD BOT 3.0,HAB24,12,CTD,Bottom,3,October
6689_43_16S,43,HAB 24-018 CTD BOT 3.0,HAB24,10,CTD,Bottom,3,October
6689_44_16S,44,HAB-24-2 CTD BOT 3.0,HAB24,2,CTD,Bottom,3,October
