SampleID,Sample_num,Full_Sample_Name,Cruise_Name,Station,Sample_Type,Depth,Filter,Month 
6689_1_18S,1,HAB 24-01 CTD BOT 0.2,HAB24,1,CTD,Bottom,0.2,October
6689_2_18S,2,HAB24 UW3 3.0,HAB24,14,UW,Surface,3,October
6689_3_18S,3,HAB24-01 CTD SURF 0.2,HAB24,1,CTD,Surface,0.2,October
6689_4_18S,4,HAB 24 UW3 0.2,HAB24,14,UW,Surface,0.2,October
6689_5_18S,5,24-02 CTD BOT 0.2,HAB24,2,CTD,Bottom,0.2,October
6689_6_18S,6,24-10 CTD BOT 0.2,HAB24,10,CTD,Bottom,0.2,October
6689_7_18S,7,25-05 CTD BOT 0.2,HAB24,5,CTD,Bottom,0.2,October
6689_8_18S,8,24-04 CTD BOT 0.2,HAB24,4,CTD,Bottom,0.2,October
6689_9_18S,9,24-08 CTD BOT 0.2,HAB24,8,CTD,Bottom,0.2,October
6689_10_18S,10,24-07 CTD BOT 0.2,HAB24,7,CTD,Bottom,0.2,October
6689_11_18S,11,24-11 CTD BOT 0.2,HAB24,11,CTD,Bottom,0.2,October
6689_12_18S,12,24-03 CTD BOT 0.2,HAB24,3,CTD,Bottom,0.2,October
6689_13_18S,13,24-06 CTD BOT 0.2,HAB24,6,CTD,Bottom,0.2,October
6689_14_18S,14,24-12 CTD BOT 0.2,HAB24,12,CTD,Bottom,0.2,October
6689_15_18S,15,24-04 CTD SURF 0.2,HAB24,4,CTD,Surface,0.2,October
6689_16_18S,16,24-03 CTD SURF 0.2,HAB24,3,CTD,Surface,0.2,October
6689_17_18S,17,24-02 CTD SURF 0.2,HAB24,2,CTD,Surface,0.2,October
6689_18_18S,18,24-010 CTD SURF 0.2,HAB24,10,CTD,Surface,0.2,October
6689_19_18S,19,24-05 CTD SURF 0.2,HAB24,5,CTD,Surface,0.2,October
6689_20_18S,20,24-11 CTD SURF 0.2,HAB24,11,CTD,Surface,0.2,October
6689_21_18S,21,24-06 SURF 0.2,HAB24,6,CTD,Surface,0.2,October
6689_22_18S,22,24-07 SURF 0.2,HAB24,7,CTD,Surface,0.2,October
6689_23_18S,23,HAB 24-12 CTD SURF 0.2,HAB24,12,CTD,Surface,0.2,October
6689_24_18S,24,HAB 24-08 CTD SURF 0.2,HAB24,8,CTD,Surface,0.2,October
6689_25_18S,25,HAB 24 UW 4 0.2,HAB24,15,UW,Surface,0.2,October
6689_26_18S,26,HAB 24 UW 2 0.2,HAB24,13,UW,Surface,0.2,October
6689_27_18S,27,HAB 24 UW 4 3.0,HAB24,15,UW,Surface,3,October
6689_28_18S,28,HAB 24-07 CTD SURF 3.0,HAB24,7,CTD,Surface,3,October
6689_29_18S,29,HAB 24-11 CTD BOT 3.0,HAB24,11,CTD,Bottom,3,October
6689_30_18S,30,HAB 24-07 CTD BOT 3.0,HAB24,7,CTD,Bottom,3,October
6689_31_18S,31,HAB 24-01 CTD BOT 3.0,HAB24,1,CTD,Bottom,3,October
6689_32_18S,32,HAB 24-04 CTD SURF 3.0,HAB24,4,CTD,Surface,3,October
6689_33_18S,33,HAB 24-05 CTD SURF 3.0,HAB24,5,CTD,Surface,3,October
6689_34_18S,34,HAB 24-04 CTD BOT 3.0,HAB24,4,CTD,Bottom,3,October
6689_35_18S,35,HAB 24-05 CTD BOT 3.0,HAB24,5,CTD,Bottom,3,October
6689_36_18S,36,HAB 24-06 CTD SURF 3.0,HAB24,6,CTD,Surface,3,October
6689_37_18S,37,HAB 24-06 CTD BOT 3.0,HAB24,6,CTD,Bottom,3,October
6689_38_18S,38,HAB 24-08 CTD BOT 3.0,HAB24,8,CTD,Bottom,3,October
6689_39_18S,39,HAB 24 UW 2 3.0,HAB24,13,UW,Surface,3,October
6689_40_18S,40,HAB 24-010 CTD SURF 3.0,HAB24,10,CTD,Surface,3,October
6689_41_18S,41,HAB 24-11 CTD SURF 3.0,HAB24,11,CTD,Surface,3,October
6689_42_18S,42,HAB 24-12 CTD BOT 3.0,HAB24,12,CTD,Bottom,3,October
6689_43_18S,43,HAB 24-018 CTD BOT 3.0,HAB24,10,CTD,Bottom,3,October
6689_44_18S,44,HAB-24-2 CTD BOT 3.0,HAB24,2,CTD,Bottom,3,October
6689_45_18S,45,HAB 24-2 CTD SURF 3.0,HAB24,2,CTD,Surface,3,October
6689_46_18S,46,HAB 24-03 CTD  SURF 3.0,HAB24,3,CTD,Surface,3,October
6689_47_18S,47,HAB 24-03 CTD BOT 3.0,HAB24,3,CTD,Bottom,3,October
6689_48_18S,48,HAB 24-12 CTD SURF 3.0,HAB24,12,CTD,Surface,3,October
6689_49_18S,49,HAB 24-08 CTD SURF 3.0,HAB24,8,CTD,Surface,3,October
6689_50_18S,50,HAB 24-01 CTD SURF 3.0,HAB24,1,CTD,Surface,3,October
6725_1_18s,1,Shelf_HAB_3_12/17/24_CTD_BOT,SHELF_HAB,3,CTD,Bottom,0.2,December
6725_2_18s,2,shelf_HAB_3_12/17/24_CTD_Surf,SHELF_HAB,3,CTD,Surface,3,December
6725_3_18s,3,shelf_HAB_8_12/17/24_CTD Surf,SHELF_HAB,8,CTD,Surface,3,December
6725_4_18s,4,shelf_HAB_8_12/17/24_CTD BOT,SHELF_HAB,8,CTD,Bottom,0.2,December
6725_5_18s,5,shelf_HAB_7_12/17/24_CTD_BOT,SHELF_HAB,7,CTD,Bottom,3,December
6725_6_18s,6,shelf_HAB_7_12/17/24_CTD_Surf,SHELF_HAB,7,CTD,Surface,0.2,December
6725_7_18s,7,stn_3_12/16/24_UW,SHELF_HAB,13,UW,Surface,0.2,December
6725_8_18s,8,stn_2_12/16/24_UW,SHELF_HAB,14,UW,Surface,0.2,December
6725_9_18s,9,stn_1_12/16/24_UW,SHELF_HAB,15,UW,Surface,3,December
6725_10_18s,10,shelf_HAB_3_12/17/24_CTD_BOT,SHELF_HAB,3,CTD,Bottom,3,December
6725_11_18s,11,shelf_HAB_3_12/17/24_CTD_Surf,SHELF_HAB,3,CTD,Surface,0.2,December
6725_12_18s,12,shelf_HAB_8_12/17/24_CTD_Surf,SHELF_HAB,8,CTD,Surface,0.2,December
6725_13_18s,13,shelf_HAB_5_12/17/24_CTD_Surf,SHELF_HAB,5,CTD,Surface,0.2,December
6725_14_18s,14,shelf_HAB_2_12/17/24_CTD_BOT,SHELF_HAB,2,CTD,Bottom,0.2,December
6725_15_18s,15,shelf_HAB_2_12/17/24_CTD_BOT,SHELF_HAB,2,CTD,Bottom,3,December
6725_16_18s,16,shelf_HAB_2_12/17/24_CTD_Surf,SHELF_HAB,2,CTD,Surface,0.2,December
6725_17_18s,17,shelf_HAB_2_12/17/24_CTD_Surf,SHELF_HAB,2,CTD,Surface,3,December
6725_18_18s,18,shelf_HAB_4_12/17/24_CTD_BOT,SHELF_HAB,4,CTD,Bottom,3,December
6725_19_18s,19,shelf_HAB_8_12/17/24_CTD_BOT,SHELF_HAB,8,CTD,Bottom,3,December
6725_20_18s,20,shelf_HAB_7_12/17/24_CTD_BOT,SHELF_HAB,7,CTD,Bottom,0.2,December
6725_21_18s,21,shelf_HAB_7_12/17/24_CTD_Surf,SHELF_HAB,7,CTD,Surface,3,December
6725_22_18s,22,stn_3_12/16/24_UW,SHELF_HAB,13,UW,Surface,3,December
6725_23_18s,23,stn_2_12/16/24_UW,SHELF_HAB,14,UW,Surface,3,December
6725_24_18s,24,stn_1_12/16/24_UW,SHELF_HAB,15,UW,Surface,0.2,December
6725_25_18s,25,shelf_HAB_4_12/17/24_CTD_BOT,SHELF_HAB,4,CTD,Bottom,0.2,December
6725_26_18s,26,shelf_HAB_4_12/17/24_CTD_Surf,SHELF_HAB,4,CTD,Surface,0.2,December
6725_27_18s,27,shelf_HAB_4_12/17/24_CTD_Surf,SHELF_HAB,4,CTD,Surface,3,December
6725_28_18s,28,shelf_HAB_5_12/17/24_CTD_Surf,SHELF_HAB,5,CTD,Surface,3,December
6725_29_18s,29,shelf_HAB_5_12/17/24_CTD_BOT,SHELF_HAB,5,CTD,Bottom,0.2,December
6725_30_18s,30,shelf_HAB_5_12/17/24_CTD_BOT,SHELF_HAB,5,CTD,Bottom,3,December
6725_31_18s,31,shelf_HAB_6_12/17/24_CTD_Surf,SHELF_HAB,6,CTD,Surface,3,December
6725_32_18s,32,shelf_HAB_6_12/17/24_CTD_Surf,SHELF_HAB,6,CTD,Surface,0.2,December
6725_33_18s,33,shelf_HAB_10_12/17/24_CTD_Surf,SHELF_HAB,10,CTD,Surface,3,December
6725_34_18s,34,shelf_HAB_10_12/17/24_CTD_Surf,SHELF_HAB,10,CTD,Surface,0.2,December
6725_35_18s,35,shelf_HAB_10_12/17/24_CTD_BOT,SHELF_HAB,10,CTD,Bottom,3,December
6725_36_18s,36,shelf_HAB_10_12/17/24_CTD_BOT,SHELF_HAB,10,CTD,Bottom,0.2,December
6725_37_18s,37,shelf_HAB_6_12/17/24_CTD_BOT,SHELF_HAB,6,CTD,Bottom,0.2,December
6725_38_18s,38,shelf_HAB_6_12/17/24_CTD_BOT,SHELF_HAB,6,CTD,Bottom,3,December
6725_39_18s,39,shelf_HAB_11_12/17/24_CTD_Surf,SHELF_HAB,11,CTD,Surface,0.2,December
6725_40_18s,40,shelf_HAB_11_12/17/24_CTD_Surf,SHELF_HAB,11,CTD,Surface,3,December
6725_41_18s,41,shelf_HAB_11_12/17/24_CTD_BOT,SHELF_HAB,11,CTD,Bottom,0.2,December
6725_42_18s,42,shelf_HAB_11_12/17/24_CTD_BOT,SHELF_HAB,11,CTD,Bottom,3,December
6725_43_18s,43,shelf_HAB_1_12/17/24_CTD_Surf,SHELF_HAB,1,CTD,Surface,0.2,December
6725_44_18s,44,shelf_HAB_1_12/17/24_CTD_Surf,SHELF_HAB,1,CTD,Surface,3,December
