Cruise_Name,Station_Name,Latitude,Longitude
HAB25,15,27.70202,-82.54903
HAB25,14,27.6289,-82.63698
HAB25,13,27.60268,-82.74664
HAB25,12,27.55881,-82.874428
HAB25,11,27.513232,-83.05298
HAB25,6,27.488735,-83.212737
HAB25,T1_1,27.423675,-83.1095
HAB25,T1_2,27.377959,-82.978186
HAB25,T1_3,27.335686,-82.861259
HAB25,T1_4,27.310968,-82.795294
HAB25,T1_5,27.277242,-82.700433
HAB25,T1_6,27.23164,-82.568539
HAB24,1,27.39145,-82.79597
HAB24,2,27.26779,-82.91442
HAB24,3,27.1669,-82.9283
HAB24,4,27.10489,-82.99716
HAB24,5,27.25631,-83.08398
HAB24,6,27.48734,-83.21262
HAB24,7,27.6427,-83.47354
HAB24,8,27.52432,-83.74477
HAB24,10,27.31998,-83.21915
HAB24,11,27.51269,-83.05112
HAB24,12,27.55897,-82.87385
HAB24,13,27.60268,-82.74664
HAB24,14,27.63269,-82.62823
HAB24,15,27.70202,-82.54903
SHELF_HAB,1,27.39145,-82.79597
SHELF_HAB,2,27.26779,-82.91442
SHELF_HAB,3,27.1669,-82.9283
SHELF_HAB,4,27.10489,-82.99716
SHELF_HAB,5,27.25631,-83.08398
SHELF_HAB,6,27.48734,-83.21262
SHELF_HAB,7,27.6427,-83.47354
SHELF_HAB,8,27.52432,-83.74477
SHELF_HAB,10,27.31998,-83.21915
SHELF_HAB,11,27.51269,-83.05112
SHELF_HAB,12,27.55897,-82.87385
SHELF_HAB,13,27.60268,-82.74664
SHELF_HAB,14,27.63269,-82.62823
SHELF_HAB,15,27.70202,-82.54903
Shelf,2,27.621,-82.655
Shelf,3,27.611,-82.784
Shelf,4,27.603,-82.866
Shelf,5,27.524,-82.971
Shelf,6,27.301,-83
Shelf,7,26.999,-82.982
Shelf,14,26.997,-83.5
Shelf,15,27.721,-82.61
Shelf,17,27.692,-83.288
Shelf,34,27.695,-83.645
Shelf,35,27.5,-83.5
Shelf,36,27.643,-82.979
