SampleID,Sample_num,Full_Sample_Name,Cruise_Name,Station,Sample_Type,Depth,Filter,Month
6689_10_ITS,10,24-07 CTD BOT 0.2,HAB24,7,CTD,Bottom,0.2,October
6689_11_ITS,11,24-11 CTD BOT 0.2,HAB24,11,CTD,Bottom,0.2,October
6689_12_ITS,12,24-03 CTD BOT 0.2,HAB24,3,CTD,Bottom,0.2,October
6689_13_ITS,13,24-06 CTD BOT 0.2,HAB24,6,CTD,Bottom,0.2,October
6689_14_ITS,14,24-12 CTD BOT 0.2,HAB24,12,CTD,Bottom,0.2,October
6689_15_ITS,15,24-04 CTD SURF 0.2,HAB24,4,CTD,Surface,0.2,October
6689_16_ITS,16,24-03 CTD SURF 0.2,HAB24,3,CTD,Surface,0.2,October
6689_17_ITS,17,24-02 CTD SURF 0.2,HAB24,2,CTD,Surface,0.2,October
6689_18_ITS,18,24-010 CTD SURF 0.2,HAB24,10,CTD,Surface,0.2,October
6689_19_ITS,19,24-05 CTD SURF 0.2,HAB24,5,CTD,Surface,0.2,October
6689_1_ITS,1,HAB 24-01 CTD BOT 0.2,HAB24,1,CTD,Bottom,0.2,October
6689_20_ITS,20,24-11 CTD SURF 0.2,HAB24,11,CTD,Surface,0.2,October
6689_21_ITS,21,24-06 SURF 0.2,HAB24,6,CTD,Surface,0.2,October
6689_22_ITS,22,24-07 SURF 0.2,HAB24,7,CTD,Surface,0.2,October
6689_23_ITS,23,HAB 24-12 CTD SURF 0.2,HAB24,12,CTD,Surface,0.2,October
6689_24_ITS,24,HAB 24-08 CTD SURF 0.2,HAB24,8,CTD,Surface,0.2,October
6689_25_ITS,25,HAB 24 UW 4 0.2,HAB24,15,UW,Surface,0.2,October
6689_26_ITS,26,HAB 24 UW 2 0.2,HAB24,13,UW,Surface,0.2,October
6689_27_ITS,27,HAB 24 UW 4 3.0,HAB24,15,UW,Surface,3,October
6689_28_ITS,28,HAB 24-07 CTD SURF 3.0,HAB24,7,CTD,Surface,3,October
6689_29_ITS,29,HAB 24-11 CTD BOT 3.0,HAB24,11,CTD,Bottom,3,October
6689_2_ITS,2,HAB24 UW3 3.0,HAB24,14,UW,Surface,3,October
